Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malta,MLT,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.625,40.625,28.125,31.25,31.25,32.5,31.25,29.0625,29.0625,29.0625,29.0625,32.4375,32.4375,32.4375,28.46875,27.34375,27.34375,25.909375,..,..
Malta,MLT,Agricultural land (sq. km),AG.LND.AGRI.K2,130,130,90,100,100,104,100,93,93,93,93,103.8,103.8,103.8,91.1,87.5,87.5,82.91,..,..
Malta,MLT,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0,0,0,0,0.03,0.04,0.05,0.06,0.08,0.09,0.1,2.79,3.13,3.01,3.7,3.62,3.63,3.81,..,..
Malta,MLT,"Air transport, passengers carried",IS.AIR.PSGR,597800,648600,1364904,1340031,1398990,1309119,1365223,1371865,1495333,1674773,1708268,1575125,2576898,2382607.8,549318.545,597724,1964262.009,2387400.4,..,..
Malta,MLT,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.477792474,1.434946692,1.350821106,1.319468443,1.307392996,1.298468426,1.256439251,1.230239282,1.214889688,1.185536455,1.168640696,0.86380402,0.708000405,0.761623324,0.728175665,..,..,..,..,..
Malta,MLT,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,..,..,10,53,23,54,140,147,205,862,1223,1349,1860,3681,4047,3674,2070,815,1470,..
Malta,MLT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,..,..,..
Malta,MLT,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,8.209063807,6.470139712,5.310158862,5.011774035,4.069947692,3.355289261,3.208179215,3.662824029,5.200599381,3.500257109,3.142671201,..,..
Malta,MLT,Battle-related deaths (number of people),VC.BTL.DETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malta,MLT,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,..,..,0,..,0,0,100,100,100,100,100,99.98,99.98,99.98,99.98,99.98,0,..,..,..
Malta,MLT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.2,14.6,11.3,10.1,9.9,10.2,9.7,9.6,9.3,9.3,9.8,9.2,9.2,8.6,8.6,8.5,8.1,8.1,..,..
Malta,MLT,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,307.6205976,324.3996279,377.1768373,402.2325194,..,..
Malta,MLT,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,-4.466169947,-8.049442267,7.450794608,0.099056807,12.55868039,12.27443042,13.48033938,14.53550971,17.29187304,17.69240708,-32.89116672,-32.49493949,-27.94694001,-30.21232611,-29.91084887,-22.63663379,-23.00702011,-22.11981567,..
Malta,MLT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,8.044687296,..,..,..,..,..,..,..,..,..,..,7.002133543,..,..,..,..,..,..
Malta,MLT,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,..,..,..,..,..,..,..,..,..,1.058040023,0.859640002,2.294219971,3.634350061,5.06799984,6.876989841,2.637789965,..,..
Malta,MLT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,..,..,..,..,..,..,38.60794238,38.99505864,37.14666447,38.27164101,39.85927941,31.86727404,29.31055847,27.22819285,23.47344371,22.86708893,22.11252675,21.65877024,..,..
Malta,MLT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
Malta,MLT,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malta,MLT,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,7.105540427,6.900000095,8.726540753,9.579999924,10.81879745,11.82789283,11.38513416,..,..
Malta,MLT,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2823.502838,3597.685828,4311.858637,4292.315051,4500.3523,4872.272205,4797.292583,4912.90976,4897.510042,4873.083467,4836.593963,5071.653971,5044.399394,5036.593691,4713.961474,4940.654251,5174.040176,5042.089781,..,..
Malta,MLT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,75.83362624,77.37196474,90.26922524,78.45831182,82.51781973,75.45626199,75.09743104,74.22356222,89.17921875,90.85349382,91.47240383,116.6264975,123.3493037,124.5200399,129.9541179,118.7555637,128.4600906,119.5582288,118.4861172,..
Malta,MLT,Forest area (% of land area),AG.LND.FRST.ZS,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.3125,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,..,..
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.291390958,6.256493069,19.68126926,-0.757203079,2.741135145,3.693310462,0.407354471,2.881235239,2.33618945,5.036401681,4.410596606,12.9713425,7.189214796,4.085055821,-3.457282763,13.41170429,2.483099938,10.6215185,6.799903002,..
Lithuania,LTU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,99.5,99.5,99.4,99.4,99.4,99.4,99.4,99.4,99.4,100,100,100,100,100,100,100,..,..
Lithuania,LTU,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,82.8838485,..,..,..,93.53223967,..,..,98.99471559,..
Lithuania,LTU,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,51.43149178,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,26.05805781,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,97.92808,98.16344,98.09469,98.24975,98.36907,98.64627,98.90073,99.00255,99.20387,99.60231,..,..,..,..,..,..,..,..
Lithuania,LTU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,7.309577034,7.282023542,8.106265787,9.149436795,10.15518722,10.63407116,5.4717079,8.255029699,4.982332227,5.086844989,3.476156302,5.12546271,0.656742988,2.102658484,..,..,..,..
